[debug] elbow QVEL: 3698.2163440105915, Shoulder QVEL: -3235.641157468597
[debug] elbow QVEL: 4086.328603850601, Shoulder QVEL: -3434.5662402480916
[debug] elbow QVEL: 4577.193663493363, Shoulder QVEL: -3300.496044179098
[debug] elbow QVEL: 4820.847261105795, Shoulder QVEL: -3562.4093811195435
[debug] elbow QVEL: 4831.482368799672, Shoulder QVEL: -4276.089532909793
[debug] elbow QVEL: 4613.208296174599, Shoulder QVEL: -5357.729647696522
[debug] elbow QVEL: 4176.462007038042, Shoulder QVEL: -6329.931976750644
[debug] elbow QVEL: 5817.554883344924, Shoulder QVEL: -5522.52765817533
[debug] elbow QVEL: 6733.232154266316, Shoulder QVEL: -5712.614021233993
[debug] elbow QVEL: 6572.716314709195, Shoulder QVEL: -7331.25557585076
[debug] elbow QVEL: 5298.015861459609, Shoulder QVEL: -9262.674097622817
[debug] elbow QVEL: 3885.959374129434, Shoulder QVEL: -9706.338335862858
[debug] elbow QVEL: 6133.187822083566, Shoulder QVEL: -8781.241064940617
[debug] elbow QVEL: 9072.15416674378, Shoulder QVEL: -7908.740646689037
[debug] elbow QVEL: 10800.607932746787, Shoulder QVEL: -9926.261920019051
[debug] elbow QVEL: 12311.923090139275, Shoulder QVEL: -12583.718107427665
[debug] elbow QVEL: 8205.246632967972, Shoulder QVEL: -17981.52371027495
[debug] elbow QVEL: 18760.170265414956, Shoulder QVEL: -17029.131353923545
[debug] elbow QVEL: 106425.16776646196, Shoulder QVEL: -96726.52545884682
[debug] elbow QVEL: -394049293.89287007, Shoulder QVEL: -945945059.0261594
[debug] elbow QVEL: 672.0296671003633, Shoulder QVEL: -1007.6409933612113
[debug] elbow QVEL: 629.0007436274956, Shoulder QVEL: -1042.656873275615
[debug] elbow QVEL: 615.7517153770664, Shoulder QVEL: -1049.9308236916524
[debug] elbow QVEL: 613.330022909564, Shoulder QVEL: -1051.1342371585279
[debug] elbow QVEL: 621.8578944987431, Shoulder QVEL: -1046.1932612587927
[debug] elbow QVEL: 640.8879567380563, Shoulder QVEL: -1035.3879640852358
[debug] elbow QVEL: 669.3972410097945, Shoulder QVEL: -1019.3679128840278
[debug] elbow QVEL: 1025.6196930309802, Shoulder QVEL: -871.2901356133644
[debug] elbow QVEL: 1047.8985595797278, Shoulder QVEL: -877.2662907896215
[debug] elbow QVEL: 1065.2490966296175, Shoulder QVEL: -889.6025617668852
[debug] elbow QVEL: 1077.9582756684956, Shoulder QVEL: -908.2864386909874
[debug] elbow QVEL: 1086.304208933571, Shoulder QVEL: -933.2216869431912
[debug] elbow QVEL: 1090.4938107186722, Shoulder QVEL: -964.2630755797954
[debug] elbow QVEL: 1090.639279089864, Shoulder QVEL: -1001.1894305636038
[debug] elbow QVEL: 1086.7470039067834, Shoulder QVEL: -1043.6442635923936
[debug] elbow QVEL: 1078.720945509669, Shoulder QVEL: -1091.1095319986864
[debug] elbow QVEL: 1066.368780322829, Shoulder QVEL: -1142.779395685479
[debug] elbow QVEL: 1049.4249752783383, Shoulder QVEL: -1197.5176500277803
[debug] elbow QVEL: 1075.8521248774314, Shoulder QVEL: -1226.8752906280072
[debug] elbow QVEL: 1138.6301130362824, Shoulder QVEL: -1193.190220223422
[debug] elbow QVEL: 1207.4653818715785, Shoulder QVEL: -1158.9263451143493
[debug] elbow QVEL: 1274.6501760737608, Shoulder QVEL: -1129.9529446337285
[debug] elbow QVEL: 1334.691047032828, Shoulder QVEL: -1110.8138956378407
[debug] elbow QVEL: 1384.7312524485326, Shoulder QVEL: -1104.3109325914736
[debug] elbow QVEL: 1423.979348120152, Shoulder QVEL: -1111.8155722489876
[debug] elbow QVEL: 1452.822820479726, Shoulder QVEL: -1133.825993359465
[debug] elbow QVEL: 1472.0866444291285, Shoulder QVEL: -1170.4098595243242
[debug] elbow QVEL: 1482.5531068839948, Shoulder QVEL: -1221.4475801110952
[debug] elbow QVEL: 1484.721046987765, Shoulder QVEL: -1286.6394431058316
[debug] elbow QVEL: 1478.7082992558214, Shoulder QVEL: -1365.2855774656368
